"id","username","discriminator","nickname","avatar","bot"
"157926736170975232","Krazie_","3250",NA,"5e72b178dd8b4d09bdafc70612a8e527",NA
"159078379755143168","Patella","5730",NA,"9a7c83dfd839cd7660fd9a2a5799ad98",NA
"159444126419386368","Exschwasion","5968",NA,"198fc442ab35171cb02a56e606c14604",NA
"160105994217586689","Miki","6045",NA,"2371de186c7224c7766630191d2eb7a1",TRUE
"160202982028214282","namemacther","2586","Macther","0297ca830b363d635b8aea80e4cfacf9",NA
"160826741688893440","jliu517","5879",NA,"0709d0f35766631e85451aabf3b3b7c7",NA
"160828819828113418","hi im brian","5153",NA,"5b3419eb5a03e2ecbc3e10d07d1e7c4e",NA
"161221356665569280","Dejvid","8889","David","eae03556263b7d966285d8056983ef85",NA
"161298875297038336","JC Denton","3821","Wombo (XY)","2e93e345572967b322af1ad218723305",NA
"161915115686461442","ADDIESAN","4442",NA,"f3f3ef0828a67ec4d023b87588813a36",NA
"163785355332550656","Brob","1421",NA,"e8248e9b3569a3f8e2053f6130398e5f",NA
"164902497180319746","IcyIceTea","2641",NA,"c80ca13c4c5bfa1caa1652336414a809",NA
"165631650963783680","gravy","6266","pickledab","9b8cc3a320bb5656d39d2e3fc89bffd3",NA
"165680879786655745","Nam","0279",NA,"c2f8954f9b7366e55e15c6388553441a",NA
"166358373292441600","joshumax","7525",NA,"0f83643b9cca721375339807d8dee618",NA
"167070342580273161","Skullray31","5973",NA,"0b04bcb56941af8f65ade191e042da6a",NA
"167786035147702272","Apple Bloom","2778",NA,"9bbcdba749c5e03ef1f6a6541de20a8f",NA
"167888225644314625","Gmar","1676",NA,NA,NA
"169259377168089088","kinhou17","8881",NA,"35577f8be0b668a9043093f3c089c6a6",NA
"169934677858058240","MissEmilee","1368",NA,"e26139f4c16153d6242dea6ae2b478b4",NA
"170332980093386752","MaxPowerfulness","0742",NA,"11b109e5835e00febfbb919794012873",NA
"170678927109390337","Bloxmaniac","8414",NA,"842c46841442f650f2f016192ac3e16d",NA
